,Source,Title,Description,Published At
54,"{'id': None, 'name': 'Forbes'}",Drake-Kendrick Lamar Feud Timeline: Drake Drops Legal Action Claiming Spotify Bots Boosted ‘Not Like Us’,The Drake and Kendrick Lamar feud had escalated to included a legal battle—but Drake is seemingly backing down.,2025-01-15T13:50:01Z
55,"{'id': None, 'name': 'Boston Herald'}",Historic Dillon Brooks performance continued concerning trend for Celtics,"""He hit 10 threes tonight. It’s tough. We didn’t account for that at all.”",2025-01-28T15:28:35Z
56,"{'id': None, 'name': 'New York Post'}",Knicks’ harmonious play making loudest complaint disappear,"The loudest complaint about these Knicks until a few days ago — and a fair one — was that they could bully bad teams, but mostly shrank from good ones.",2025-01-30T05:39:25Z
57,"{'id': None, 'name': 'Yahoo Entertainment'}",Nikola Jokic gets 18th triple-double of season in Nuggets' win over Magic,Jokić has a shot at surpassing his career-high of 29 triple-doubles in a season.,2025-01-20T02:39:12Z
58,"{'id': None, 'name': 'Yahoo Entertainment'}","2024-25 NBA Midseason Awards: MVP, top rookie and the league's most pleasant surprise",It's time to honor the best performers from the season's first half.,2025-01-24T19:52:15Z
59,"{'id': None, 'name': 'New York Post'}","Nets’ woes continue in rough loss to Nikola Jokic, Nuggets to start road trip",The shorthanded Nets already brought a losing streak into their most daunting road trip of the season. Their slump promises to get a little longer.,2025-01-11T04:57:16Z
60,"{'id': None, 'name': 'CBS Sports'}","Lakers' trade deadline will be defined by one question, and there's a candidate who might make everyone happy",Who is the priority for the Lakers at the 2025 trade deadline?,2025-01-27T14:36:59Z
61,"{'id': None, 'name': 'Yahoo Entertainment'}",Fact or Fiction: This is Donovan Mitchell's moment,Will the Cavs star seize his championship this season?,2025-01-16T15:33:18Z
62,"{'id': None, 'name': 'CBS Sports'}","Why Cavaliers vs. Thunder is historic matchup, and how a win can finally get Cleveland the respect it deserves","The Cavs, at 31-4, are on pace for 73 wins -- but many still aren't taking them all that seriously",2025-01-08T14:56:58Z
63,"{'id': None, 'name': 'CBS Sports'}","Bradley Beal calls Suns benching 'difficult,' but win vs. 76ers shows it's probably for the best","Phoenix won its first game with Beal coming off the bench, and he scored 25 points",2025-01-07T14:47:50Z
64,"{'id': None, 'name': 'CBS Sports'}","Watch Dallas Mavericks vs. Denver Nuggets: TV channel, live stream info, start time",How to watch Mavericks vs. Nuggets basketball game,2025-01-12T20:40:19Z
65,"{'id': None, 'name': 'CBS Sports'}","Dallas Mavericks vs. Denver Nuggets: How to watch live stream, TV channel, NBA start time",How to watch Mavericks vs. Nuggets basketball game,2025-01-12T21:10:14Z
66,"{'id': None, 'name': 'CBS Sports'}",How Amen Thompson's 'one of a kind' athleticism is fueling the Rockets and turning heads,"'He's in the 1% of the NBA population,' JJ Redick said while complimenting Thompson's athleticism",2025-01-07T20:41:29Z
67,"{'id': None, 'name': 'Yahoo Entertainment'}",'He's a winner:' How Al Horford found his home and NBA glory,"The Celtics' veteran leader took a long, winding road to his first NBA title, and he's reaping the rewards of his patience.",2025-01-25T00:22:32Z
68,"{'id': None, 'name': 'CBS Sports'}","NBA's best and worst lineups: Thunder dominate, surprise team impresses, Celtics cause some confusion",You might be puzzled by some of the league's most effective and ineffective lineup combinations,2025-01-27T17:14:25Z
69,"{'id': 'espn', 'name': 'ESPN'}",Fantasy basketball picks and betting tips for Friday,Eric Moody breaks down Friday's seven games and offers his top fantasy streamers and favorite bets.,2025-01-10T18:38:58Z
70,"{'id': 'espn', 'name': 'ESPN'}",Fantasy basketball picks and betting tips for Friday,Eric Moody breaks down Friday's games and offers his top fantasy streamers and favorite bets for the nine-game slate.,2025-01-17T21:43:36Z
71,"{'id': None, 'name': 'Nbcsportsphiladelphia.com'}","In Roob's Stats: A record for Dallas Goedert, history from Eagles' defense","Lots of interception stats, an all-time Eagles receiving record, an NFL record Jalen Hurts is closing in on and the worst Packer ever.",2025-01-14T07:00:42Z
72,"{'id': 'espn', 'name': 'ESPN'}",Fantasy basketball picks and betting tips for Saturday,Steve Alexander breaks down Saturday's games and offers his top fantasy streamers and favorite bets for the nine-game slate.,2025-01-04T17:45:12Z
73,"{'id': 'espn', 'name': 'ESPN'}",Fantasy basketball picks and betting tips for Friday,Andre Snellings breaks down the top fantasy streamers and his favorite bets for the NBA slate on Friday.,2025-01-03T18:57:19Z
74,"{'id': 'espn', 'name': 'ESPN'}",Fantasy basketball picks and betting tips for Tuesday,André Snellings breaks down Tuesday's seven NBA games and offers his top fantasy streamers and favorite bets.,2025-01-14T17:42:34Z
75,"{'id': None, 'name': 'New York Post'}",Unusual Jazz-Suns trade sparks Jimmy Butler rumors: ‘Presumed motivation’,The Suns have positioned themselves as a top contender to land Heat star Jimmy Butler as the NBA trade deadline approaches on Feb. 6.,2025-01-22T16:54:21Z
