,MIN,PTS,AST,LEADER
234,18045.0,6739.0,1871.0,NONLEADER
235,3666.0,1800.0,140.0,NONLEADER
236,780.0,320.0,39.0,NONLEADER
237,1337.0,489.0,130.0,NONLEADER
238,2585.0,1263.0,527.0,NONLEADER
239,592.0,352.0,60.0,NONLEADER
240,761.0,270.0,34.0,NONLEADER
241,11375.0,7357.0,592.0,NONLEADER
242,7987.0,2406.0,618.0,NONLEADER
243,17677.0,7993.0,1037.0,NONLEADER
244,5990.0,1856.0,252.0,NONLEADER
245,5887.0,2457.0,256.0,NONLEADER
246,18335.0,11346.0,1572.0,NONLEADER
247,443.0,145.0,21.0,NONLEADER
248,278.0,92.0,18.0,NONLEADER
249,3733.0,1896.0,399.0,NONLEADER
250,1889.0,774.0,123.0,NONLEADER
251,2533.0,815.0,292.0,NONLEADER
252,371.0,124.0,38.0,NONLEADER
253,19965.0,13643.0,2205.0,NONLEADER
254,862.0,488.0,49.0,NONLEADER
255,57.0,24.0,6.0,NONLEADER
256,9573.0,6743.0,2223.0,NONLEADER
257,156.0,55.0,26.0,NONLEADER
258,1179.0,404.0,150.0,NONLEADER
259,41285.0,17932.0,2207.0,NONLEADER
260,21585.0,9865.0,1196.0,NONLEADER
261,3259.0,1109.0,183.0,NONLEADER
262,4965.0,2072.0,515.0,NONLEADER
263,3215.0,556.0,137.0,NONLEADER
264,5.0,0.0,1.0,NONLEADER
265,693.0,260.0,47.0,NONLEADER
266,7095.0,2382.0,738.0,NONLEADER
267,32055.0,17691.0,4229.0,NONLEADER
268,2728.0,1148.0,206.0,NONLEADER
269,14406.0,12523.0,1658.0,NONLEADER
270,17486.0,5722.0,2589.0,NONLEADER
271,1279.0,395.0,71.0,NONLEADER
272,282.0,69.0,10.0,NONLEADER
273,1648.0,698.0,89.0,NONLEADER
274,13739.0,7553.0,697.0,NONLEADER
275,5227.0,1288.0,426.0,NONLEADER
276,25953.0,13747.0,1515.0,NONLEADER
277,5530.0,2058.0,213.0,NONLEADER
278,5524.0,3140.0,441.0,NONLEADER
279,1007.0,298.0,97.0,NONLEADER
280,24416.0,14231.0,2568.0,NONLEADER
281,3630.0,1273.0,507.0,NONLEADER
282,2454.0,1120.0,135.0,NONLEADER
283,4197.0,1220.0,828.0,NONLEADER
284,439.0,161.0,34.0,NONLEADER
285,11231.0,6838.0,1534.0,NONLEADER
286,440.0,87.0,21.0,NONLEADER
287,4345.0,1746.0,683.0,NONLEADER
288,2148.0,965.0,227.0,NONLEADER
289,8000.0,3836.0,1646.0,NONLEADER
290,6359.0,1919.0,443.0,NONLEADER
291,20074.0,6927.0,2147.0,NONLEADER
292,443.0,193.0,29.0,NONLEADER
293,8358.0,2804.0,497.0,NONLEADER
294,18945.0,7701.0,1752.0,NONLEADER
295,33972.0,16348.0,6413.0,NONLEADER
296,2261.0,628.0,94.0,NONLEADER
297,3771.0,1526.0,220.0,NONLEADER
298,1316.0,403.0,46.0,NONLEADER
299,1896.0,799.0,128.0,NONLEADER
300,22432.0,13343.0,2663.0,NONLEADER
301,1637.0,608.0,88.0,NONLEADER
302,1017.0,397.0,59.0,NONLEADER
303,497.0,80.0,27.0,NONLEADER
304,16432.0,7874.0,1652.0,NONLEADER
305,1313.0,451.0,51.0,NONLEADER
306,21732.0,14723.0,2022.0,NONLEADER
307,634.0,237.0,35.0,NONLEADER
308,23001.0,14521.0,2210.0,NONLEADER
309,454.0,151.0,62.0,NONLEADER
310,7400.0,3031.0,328.0,NONLEADER
311,81.0,23.0,4.0,NONLEADER
312,1178.0,495.0,51.0,NONLEADER
