,FIELD_GOAL_MADE_DIFF,FIELD_GOAL_MISSED_DIFF,FREE_THROW_DIFF,REBOUND_DIFF,TURNOVER_DIFF,FOUL_DIFF
728,1,0,1,1,0,0
729,0,1,0,0,1,1
730,0,1,1,1,1,0
731,1,0,0,0,0,1
732,0,0,0,0,1,1
733,0,1,1,0,0,0
734,1,0,0,1,0,1
735,0,1,0,0,1,0
736,0,0,1,0,1,1
737,1,1,0,1,0,0
738,1,0,1,1,0,0
739,0,1,0,0,0,1
740,1,0,1,1,0,0
741,0,1,0,0,1,1
742,1,0,0,0,0,1
743,0,1,1,1,1,0
744,1,0,0,1,1,1
745,0,0,1,0,0,0
746,0,1,0,1,1,0
747,1,0,0,0,0,1
748,0,0,0,0,0,0
749,1,1,1,1,1,1
750,0,0,1,0,0,0
751,1,1,0,1,1,1
752,0,0,1,0,0,1
753,1,0,0,1,1,0
754,0,1,0,0,0,1
755,1,0,1,1,1,0
756,1,0,1,1,0,0
757,0,1,0,0,0,1
758,0,1,0,1,1,1
759,1,0,1,0,0,0
760,0,1,1,0,0,0
761,1,0,0,1,1,1
762,0,0,1,1,1,0
763,0,1,0,0,0,1
764,0,0,1,0,1,0
765,1,1,0,1,0,1
766,1,0,1,1,0,0
767,0,1,0,0,1,1
768,1,0,1,1,0,0
769,0,1,0,0,1,1
770,0,1,1,0,0,0
771,1,0,0,1,1,1
772,0,0,0,0,1,1
773,1,1,1,1,0,0
774,0,1,1,0,1,0
775,1,0,0,1,0,1
776,1,0,1,0,0,0
777,0,1,0,1,1,1
778,1,1,0,0,0,1
779,0,0,1,1,1,0
780,1,0,0,0,0,0
781,0,1,0,0,1,1
782,1,0,1,1,0,0
783,0,1,0,0,1,1
784,1,1,1,1,0,0
785,0,0,0,0,1,1
786,1,0,0,1,1,0
787,0,0,1,0,0,1
788,0,0,1,1,1,0
789,1,1,0,0,0,0
790,1,0,1,1,1,0
791,0,1,0,0,0,1
792,1,1,0,1,0,1
793,0,0,1,0,0,0
794,0,0,0,0,1,1
795,1,1,1,0,0,0
796,1,0,0,1,0,0
797,0,1,1,0,1,0
798,0,1,0,0,1,1
799,1,0,1,1,0,0
800,0,1,1,0,0,0
801,1,0,0,1,1,1
802,1,0,0,0,0,0
803,0,1,1,1,1,1
804,1,0,1,1,0,1
805,0,1,0,0,1,0
806,1,1,0,0,0,1
807,0,0,1,1,0,0
808,1,1,0,0,0,1
809,0,0,1,1,1,0
810,0,1,1,0,0,0
811,1,0,0,1,0,1
812,1,0,0,0,0,0
813,0,1,1,1,1,1
814,0,0,1,0,1,0
815,0,1,0,1,0,1
816,1,0,0,1,1,0
817,0,1,1,0,0,1
818,0,0,1,1,1,0
819,1,1,0,0,0,0
820,1,0,1,0,0,0
821,0,1,0,1,1,1
822,1,0,0,0,0,1
823,0,1,1,1,0,0
824,0,1,0,1,1,0
825,1,0,0,0,0,1
826,0,1,0,0,0,1
827,1,0,1,1,1,0
828,0,1,1,1,0,0
829,1,0,0,0,0,1
830,0,0,1,0,0,0
831,1,1,0,1,1,1
832,1,1,0,1,0,1
833,0,0,1,0,0,0
834,0,1,1,1,1,0
835,1,0,0,0,0,1
836,1,0,0,1,0,1
837,0,1,1,0,1,0
838,1,0,1,1,0,0
839,0,1,0,0,0,1
840,0,1,0,0,0,1
841,1,0,1,1,1,0
842,1,0,1,1,1,0
843,0,1,0,0,0,1
844,1,1,0,1,1,0
845,0,0,0,0,0,0
846,1,0,1,1,0,0
847,0,1,0,0,1,1
848,1,0,1,1,1,0
849,0,0,0,0,0,1
850,1,1,1,1,0,1
851,0,0,0,0,1,0
852,0,0,1,0,1,0
853,1,0,0,1,0,1
854,0,1,0,0,0,0
855,1,0,1,1,1,1
856,1,0,0,1,1,1
857,0,1,1,0,0,0
858,0,0,0,1,1,0
859,1,1,1,0,0,1
860,0,0,1,0,0,0
861,1,0,0,1,0,1
862,1,1,0,0,0,1
863,0,0,1,1,1,0
864,0,1,0,0,0,1
865,1,0,0,1,1,0
866,0,1,0,1,0,0
867,1,0,0,0,0,1
868,0,1,0,0,0,1
869,1,0,1,1,1,0
870,0,0,1,0,0,0
871,1,1,0,1,1,1
872,0,1,0,0,0,1
873,0,0,1,1,1,0
874,0,0,0,0,1,0
875,1,0,1,0,0,0
876,1,1,1,1,0,0
877,0,0,0,0,1,1
878,1,1,0,0,0,0
879,0,0,1,1,1,1
880,0,1,0,1,1,1
881,1,0,1,0,0,0
882,0,1,1,0,0,0
883,1,0,0,1,1,0
884,0,0,0,1,1,1
885,1,1,0,0,0,0
886,0,0,1,0,1,0
887,1,1,0,1,0,1
888,1,1,1,1,0,1
889,0,0,0,0,1,0
890,0,1,1,0,0,0
891,1,0,0,1,0,1
892,1,1,0,0,0,1
893,0,0,1,1,1,0
894,1,0,1,0,0,0
895,0,1,0,1,1,1
896,1,0,1,1,1,0
897,0,1,0,0,0,1
898,0,1,1,0,0,0
899,1,0,0,1,1,1
900,1,0,1,0,1,0
901,0,1,0,0,0,0
902,1,0,0,0,0,1
903,0,1,1,1,1,0
904,1,0,1,1,0,0
905,0,1,0,0,1,1
906,1,1,0,0,0,1
907,0,0,1,1,1,0
908,1,0,1,1,0,0
909,0,1,0,0,1,1
910,0,1,0,1,0,0
911,0,0,1,0,1,1
912,1,0,1,0,0,0
913,0,1,0,1,0,1
914,1,1,0,0,0,1
915,0,0,1,1,1,0
916,0,0,1,1,1,0
917,1,1,0,0,0,1
918,1,1,0,1,1,0
919,0,0,1,0,0,0
920,0,1,0,0,0,1
921,1,0,1,1,1,0
922,1,1,1,1,0,0
923,0,0,0,0,1,1
924,1,1,0,1,0,0
925,0,0,1,0,1,1
926,1,0,1,1,1,0
927,0,1,0,0,0,1
928,1,0,1,1,0,0
929,0,0,0,0,1,0
930,0,0,0,0,0,1
931,1,0,1,1,0,0
932,0,1,1,0,0,0
933,1,0,0,1,1,0
934,0,0,0,0,1,0
935,1,1,1,1,0,0
936,0,1,0,0,0,0
937,1,0,1,1,1,1
938,0,1,1,0,0,0
939,1,0,0,1,1,1
940,1,0,1,0,0,1
941,0,1,0,1,1,0
942,0,1,0,0,0,0
943,1,0,1,1,1,1
944,1,0,0,0,1,0
945,0,1,1,1,0,0
946,0,0,1,1,1,1
947,1,1,0,0,0,0
948,0,1,1,0,1,0
949,1,0,0,1,0,1
950,0,1,0,0,0,1
951,1,0,1,1,1,0
952,1,0,1,0,0,0
953,0,1,0,1,1,1
954,1,0,1,1,1,1
955,0,1,0,0,0,0
956,1,0,1,1,1,0
957,0,1,0,0,0,1
958,0,0,1,0,0,0
959,1,1,0,1,0,1
960,0,0,0,0,0,0
961,1,0,1,1,1,1
962,1,0,0,1,1,1
963,0,1,1,0,0,0
964,0,0,0,1,1,1
965,1,1,1,0,0,0
966,0,1,1,0,0,0
967,0,0,0,1,1,1
968,0,0,0,0,1,0
969,1,0,1,1,0,1
970,0,1,1,0,0,1
971,1,0,0,0,1,0
972,0,0,1,0,1,0
973,1,1,0,1,0,1
974,0,1,1,0,0,1
