,FIELD_GOAL_MADE,FIELD_GOAL_MISSED,FREE_THROW,REBOUND,TURNOVER,FOUL,VIOLATION,SUBSTITUTION,EJECTION,FGA
501,25,21,10,29,11,10,0,16,0,46
502,26,14,5,23,9,7,0,12,0,40
503,21,28,3,15,3,5,0,15,0,49
504,18,28,2,23,9,7,0,14,0,46
505,17,22,13,25,8,4,0,10,0,39
506,21,29,12,23,6,9,0,14,0,50
507,25,21,10,26,10,9,0,14,0,46
508,19,25,10,18,5,13,1,15,0,44
509,19,20,13,19,7,13,0,10,0,39
510,22,19,15,18,6,10,0,12,0,41
511,17,26,12,22,10,11,0,11,0,43
512,18,32,5,25,5,5,0,11,0,50
513,23,25,3,30,6,6,1,9,0,48
514,23,22,14,24,7,9,1,9,0,45
515,21,23,12,16,5,10,0,8,0,44
516,17,29,12,27,8,9,0,18,0,46
517,27,25,10,25,1,8,1,9,0,52
518,19,33,3,21,7,14,1,12,0,52
519,24,22,13,27,6,4,2,12,0,46
520,18,26,15,23,6,8,1,13,0,44
521,23,23,10,22,4,9,1,11,0,46
522,14,30,7,23,10,7,0,10,0,44
523,26,20,2,24,4,9,0,9,0,46
524,24,24,3,16,4,7,0,11,0,48
525,30,23,8,22,2,6,0,12,0,53
526,24,17,16,22,8,11,1,14,0,41
527,17,22,10,13,14,12,0,18,0,39
528,17,27,10,29,13,10,0,15,0,44
529,21,23,10,19,6,10,0,10,0,44
530,23,20,18,15,7,13,0,15,0,43
531,27,17,15,19,7,12,0,17,0,44
532,21,26,13,20,6,12,0,13,0,47
533,25,21,18,28,7,9,0,16,0,46
534,19,28,5,20,4,9,1,10,0,47
535,17,27,8,29,9,9,0,13,0,44
536,26,21,10,24,7,10,2,13,0,47
537,28,20,12,18,5,8,0,10,0,48
538,17,21,2,22,15,6,0,10,0,38
539,21,25,1,20,10,6,0,10,0,46
540,18,27,14,22,8,6,0,9,0,45
541,21,22,5,27,14,15,1,14,0,43
542,21,23,11,28,4,8,1,13,0,44
543,19,28,12,19,1,7,0,10,0,47
544,25,19,8,22,11,8,0,10,0,44
545,22,28,12,20,7,12,0,15,0,50
546,27,19,12,19,8,9,0,15,0,46
547,24,19,12,19,11,11,1,10,0,43
548,21,21,19,17,4,10,0,15,0,42
549,21,23,14,23,7,12,0,14,0,44
550,23,28,7,22,5,8,2,10,0,51
551,22,27,13,28,6,11,1,12,0,49
552,21,22,16,17,4,11,1,10,0,43
553,23,22,8,23,9,13,0,11,0,45
554,24,21,5,23,7,8,0,14,0,45
555,17,31,5,23,8,5,0,11,0,48
556,31,15,1,14,4,10,2,11,0,46
557,24,20,9,17,6,5,0,13,0,44
558,26,21,12,17,4,11,0,15,0,47
559,24,23,10,20,7,11,0,13,0,47
560,27,20,5,22,8,10,0,10,0,47
561,24,26,11,19,5,6,0,12,0,50
562,15,29,11,20,7,9,0,11,0,44
563,22,21,10,27,8,11,0,11,0,43
564,21,22,14,15,3,5,0,12,0,43
565,24,18,8,20,9,11,1,12,0,42
566,21,23,5,19,5,9,0,13,0,44
567,24,18,12,21,4,6,3,14,0,42
568,19,25,13,20,8,9,1,13,0,44
569,19,26,7,24,9,12,0,12,0,45
570,25,25,20,34,4,17,0,14,0,50
571,14,33,23,20,3,14,0,11,0,47
572,26,23,5,25,5,9,2,13,0,49
573,22,31,10,22,4,4,0,13,0,53
574,19,24,8,27,8,9,1,13,0,43
575,21,25,9,21,3,6,1,11,0,46
576,22,21,14,23,4,7,2,10,0,43
577,18,22,5,19,8,14,0,12,0,40
578,20,28,3,18,5,10,1,10,0,48
579,23,19,10,23,6,4,0,12,0,42
580,17,24,24,25,8,12,2,9,0,41
581,25,29,11,26,5,15,1,11,0,54
582,16,29,9,19,4,7,0,13,0,45
583,24,29,2,34,7,8,0,13,0,53
584,20,21,16,20,10,12,0,18,0,41
585,24,20,14,19,8,10,0,12,0,44
586,17,20,11,22,13,11,0,12,0,37
587,22,33,14,24,4,11,0,12,0,55
588,26,19,18,18,7,9,0,11,0,45
589,28,15,9,10,7,13,1,12,0,43
590,22,27,5,24,8,9,1,13,0,49
591,22,22,13,21,5,6,0,9,0,44
592,23,20,14,21,3,5,0,10,0,43
593,25,22,6,18,2,12,0,11,0,47
594,19,24,6,18,9,9,0,10,0,43
595,30,21,8,23,3,4,0,11,0,51
596,22,22,16,24,8,6,0,9,0,44
597,28,23,1,17,3,10,0,10,0,51
598,24,22,9,26,8,15,0,14,0,46
599,18,20,23,15,6,11,1,13,0,38
600,15,29,19,27,10,9,1,13,0,44
601,19,35,10,29,5,16,0,13,0,54
602,18,32,12,29,8,13,0,12,0,50
603,20,23,14,23,7,11,0,12,0,43
604,22,21,8,28,10,10,0,17,0,43
605,18,28,13,16,2,10,2,18,0,46
606,22,31,8,24,3,9,0,13,0,53
607,16,23,12,25,9,8,0,12,0,39
608,22,25,7,21,9,4,0,13,0,47
609,24,21,2,23,10,8,0,9,0,45
610,18,28,6,24,6,7,0,12,0,46
611,18,26,7,28,10,8,1,15,0,44
612,20,26,9,23,7,10,0,11,0,46
613,25,25,13,24,3,7,0,11,0,50
614,24,21,9,23,8,7,0,11,0,45
615,21,26,10,24,8,10,0,12,0,47
616,21,19,13,27,15,13,0,12,0,40
617,21,23,13,15,4,12,0,14,0,44
618,17,23,10,20,8,8,1,13,0,40
619,23,20,11,21,5,7,0,10,0,43
620,18,24,12,21,7,6,1,11,0,42
