,GAME_ID,TEAM_NAME,WL
565,0022300290,Nuggets,L
566,0022300283,Pistons,L
567,0022300280,Clippers,W
568,0022300282,Magic,L
569,0022300285,Pelicans,L
570,0022300290,Kings,W
571,0022300285,Bulls,W
572,0022300280,Warriors,L
573,0022300283,Cavaliers,W
574,0022300282,Nets,W
575,0022300288,Suns,W
576,0022300288,Grizzlies,L
577,0022300286,Hawks,L
578,0022300289,Jazz,W
579,0022300281,Timberwolves,W
580,0022300291,Lakers,W
581,0022300284,Heat,L
582,0022301204,Kings,L
583,0022301202,Celtics,L
584,0022301204,Pelicans,W
585,0022301202,Pacers,W
586,0022301203,Suns,L
587,0022301203,Lakers,W
588,0022301201,Knicks,L
589,0022301201,Bucks,W
590,0022301211,Hornets,L
591,0022301214,Warriors,W
592,0022301208,Wizards,L
593,0022301206,Pistons,L
594,0022301215,Clippers,W
595,0022301212,Thunder,L
596,0022301212,Rockets,W
597,0022301211,Bulls,W
598,0022301215,Nuggets,L
599,0022301206,Grizzlies,W
600,0022301213,Jazz,L
601,0022301209,Nets,W
602,0022301208,76ers,W
603,0022301205,Cavaliers,W
604,0022301213,Mavericks,W
605,0022301207,Heat,W
606,0022301205,Magic,L
607,0022301207,Raptors,L
608,0022301210,Spurs,L
609,0022301210,Timberwolves,W
610,0022301214,Trail Blazers,L
611,0022301209,Hawks,L
612,0022301230,Pelicans,L
613,0022301230,Lakers,W
614,0022301229,Pacers,W
615,0022301229,Bucks,L
616,0022301224,Nuggets,L
617,0022301219,Wizards,L
618,0022301217,Pistons,L
619,0022301218,76ers,W
620,0022301220,Heat,L
621,0022301216,Hornets,W
622,0022301224,Rockets,W
623,0022301225,Jazz,L
624,0022301222,Warriors,L
625,0022301225,Clippers,W
626,0022301216,Raptors,L
627,0022301227,Knicks,L
628,0022301228,Kings,W
629,0022301223,Spurs,L
630,0022301223,Bulls,W
631,0022301221,Timberwolves,W
632,0022301218,Hawks,L
633,0022301227,Celtics,W
634,0022301228,Suns,L
635,0022301219,Nets,W
636,0022301226,Mavericks,W
637,0022301226,Trail Blazers,L
638,0022301221,Grizzlies,L
639,0022301222,Thunder,W
640,0022301220,Cavaliers,W
641,0022301217,Magic,W
642,0022300296,Hawks,L
643,0022300295,Wizards,L
644,0022300299,Mavericks,W
645,0022300293,Pistons,L
646,0022300297,Knicks,W
647,0022300295,76ers,W
648,0022300302,Jazz,L
649,0022300300,Bucks,W
650,0022300292,Heat,W
651,0022300294,Cavaliers,L
652,0022300302,Thunder,W
653,0022300292,Hornets,L
654,0022300296,Nuggets,W
655,0022300298,Rockets,W
656,0022300303,Nets,L
657,0022300298,Spurs,L
658,0022300301,Pelicans,W
659,0022300297,Raptors,L
660,0022300294,Magic,W
661,0022300304,Clippers,W
662,0022300303,Kings,W
663,0022300304,Trail Blazers,L
664,0022300293,Pacers,W
665,0022300300,Bulls,L
666,0022300299,Grizzlies,L
667,0022300301,Timberwolves,L
668,0022300306,Mavericks,W
